Employment,EdLevel,YearsCodePro,JobSat,RemoteWork,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",26,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C++;Clojure;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Lisp;Lua;PHP;Ruby;Rust;SQL;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,6.0,"Hybrid (some remote, some in-person)",India,Java;Python,Java;Python;Rust;Scala
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,10.0,"Hybrid (some remote, some in-person)",Finland,Bash/Shell (all shells);C#;Elixir;HTML/CSS;JavaScript;PowerShell;Python;SQL,C#;Elixir;HTML/CSS;JavaScript;Python;Rust;Scala
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,7.0,In-person,Denmark,Bash/Shell (all shells);C++;Fortran;HTML/CSS;JavaScript;MATLAB;MicroPython;PHP;PowerShell;Python;Rust;SQL;VBA,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9.0,Remote,Russian Federation,HTML/CSS;TypeScript,HTML/CSS;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,6.0,In-person,India,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;R;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,8.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,8.0,"Hybrid (some remote, some in-person)",France,Java;JavaScript;SQL;TypeScript,Java;JavaScript;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;TypeScript,Bash/Shell (all shells);C#;Python;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",9,5.0,"Hybrid (some remote, some in-person)",France,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Java;PHP;Ruby;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32,9.0,Remote,Netherlands,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,6.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript
"Employed, full-time",Some college/university study without earning a degree,3,8.0,Remote,Australia,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Bash/Shell (all shells);Go;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,8.0,Remote,Germany,Bash/Shell (all shells);JavaScript;Python;TypeScript,Bash/Shell (all shells);JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,2.0,In-person,Australia,C#;Kotlin;PowerShell;SQL,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,3.0,Remote,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;R;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,0.0,"Hybrid (some remote, some in-person)",India,C++;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,C;C++;Go;Java;JavaScript;Nim;Python;Rust;SQL;TypeScript;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,8.0,In-person,Netherlands,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript,Kotlin;Swift
"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,5.0,In-person,India,Dart;Java;JavaScript;PHP;Prolog;Solidity;TypeScript,Dart;JavaScript;Prolog;Solidity;TypeScript
"Employed, full-time;Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,3.0,In-person,India,C++;Java;Kotlin;TypeScript,C#;Kotlin;Swift;TypeScript;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,6.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,JavaScript;TypeScript,C#;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,"Hybrid (some remote, some in-person)",Singapore,Kotlin,Kotlin
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,8.0,Remote,Germany,Bash/Shell (all shells);C++;Go;PowerShell;Rust;SQL,Go;Rust;SQL
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,9.0,Remote,Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;Rust;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,5.0,"Hybrid (some remote, some in-person)",Argentina,Rust;Swift,Rust
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,9.0,Remote,France,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Bash/Shell (all shells);HTML/CSS;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,8.0,"Hybrid (some remote, some in-person)",South Africa,C++;Go;Groovy;Java;JavaScript;Python;Rust;SQL;TypeScript,Clojure;Go;JavaScript;Kotlin;Lua;Python;Rust;SQL;TypeScript;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,8.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);C#;JavaScript;Python;Ruby,Bash/Shell (all shells);C#;JavaScript;Python;Ruby
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,20,8.0,Remote,Switzerland,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python;Rust;Solidity;SQL;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Solidity;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,9.0,"Hybrid (some remote, some in-person)",Russian Federation,Elixir;Python;SQL,Elixir;Go;SQL
"Independent contractor, freelancer, or self-employed;Employed, part-time",Some college/university study without earning a degree,20,6.0,"Hybrid (some remote, some in-person)",India,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Objective-C;Perl;PHP;Python;SQL;TypeScript;VBA,Dart;Go;Kotlin;Python;Rust;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,8.0,"Hybrid (some remote, some in-person)",United States of America,Groovy;HTML/CSS;Java;JavaScript;TypeScript,Lua
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,8.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);C++;Python,C++;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7.0,Remote,Ecuador,Bash/Shell (all shells);Haskell;JavaScript;PHP;Python;Ruby,Clojure;Elixir;Erlang;GDScript;Go;Haskell;Julia;Kotlin;Python;Ruby;Rust;Scala;SQL;TypeScript;Zig
"Employed, full-time",Some college/university study without earning a degree,13,8.0,"Hybrid (some remote, some in-person)",Austria,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Java;Kotlin;Rust;SQL
"Employed, full-time",Some college/university study without earning a degree,14,8.0,"Hybrid (some remote, some in-person)",Australia,Bash/Shell (all shells);Java;JavaScript;Objective-C;Swift;TypeScript,Bash/Shell (all shells);Java;JavaScript;Objective-C;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,Remote,Sweden,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;PowerShell;Rust;SQL;TypeScript,Haskell;Python;Rust
"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6.0,Remote,Germany,Bash/Shell (all shells);HTML/CSS;Java;PHP;Python;Rust;TypeScript,Bash/Shell (all shells);Python;Rust
"Independent contractor, freelancer, or self-employed;Employed, part-time",Some college/university study without earning a degree,20,7.0,"Hybrid (some remote, some in-person)",Germany,HTML/CSS;JavaScript;Python;Ruby;TypeScript,HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25,9.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);Java;SQL,Bash/Shell (all shells);Java;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,8.0,In-person,Germany,Assembly;C;C++;Python,Assembly;C;C++;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,3.0,Remote,United States of America,Python;SQL,Python;Scala
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,6.0,In-person,Pakistan,C;HTML/CSS;Java;JavaScript,C#;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,8.0,Remote,Germany,HTML/CSS;Rust;TypeScript,HTML/CSS;Rust;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,8.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C++;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C++;JavaScript;PowerShell;Python;SQL;TypeScript
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,8.0,Remote,France,Bash/Shell (all shells);Java;Python,Go;Java;Kotlin;Rust;Swift
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,7.0,Remote,United States of America,Elixir;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Clojure;Elixir;Go;Haskell;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,5.0,"Hybrid (some remote, some in-person)",United States of America,JavaScript;Lua;PHP;Rust,GDScript;Lua;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,9.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Dart;Go;Java;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,6,6.0,Remote,United Kingdom of Great Britain and Northern Ireland,Go;Python,Go;Python
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2,8.0,Remote,"Iran, Islamic Republic of...",Python,Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,2.0,Remote,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Kotlin;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,8.0,"Hybrid (some remote, some in-person)",India,C#;Cobol;Crystal;Python;SQL;Visual Basic (.Net),C#;Python;SQL;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7.0,Remote,France,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,24,10.0,"Hybrid (some remote, some in-person)",Russian Federation,Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;Python;Rust;Scala;SQL;Swift,Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;Python;Rust;Scala;SQL;Swift
"Employed, full-time","Associate degree (A.A., A.S., etc.)",14,8.0,Remote,Netherlands,C#;HTML/CSS;JavaScript;SQL;TypeScript,Dart;Python
"Employed, full-time",Something else,7,1.0,Remote,Germany,C#;C++;GDScript;Java;JavaScript;Lua;Objective-C;SQL;TypeScript,C#;GDScript;JavaScript;Rust;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,8.0,"Hybrid (some remote, some in-person)",Netherlands,C#;HTML/CSS;SQL,C#;HTML/CSS;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7.0,"Hybrid (some remote, some in-person)",Germany,C#;Go;Java;PowerShell;Python;Rust,C#;Go;Kotlin;PowerShell;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,6.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,Perl;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,9.0,"Hybrid (some remote, some in-person)",Germany,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;Python;Rust,Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,7.0,"Hybrid (some remote, some in-person)",Spain,Bash/Shell (all shells);PHP;Python;SQL,Bash/Shell (all shells);Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7.0,"Hybrid (some remote, some in-person)",Poland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,4.0,In-person,Egypt,Bash/Shell (all shells);PHP;PowerShell;Python;SQL,Bash/Shell (all shells);Go;Groovy;Java;PHP;PowerShell;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7.0,Remote,United States of America,C#;Dart;JavaScript;Rust;TypeScript,Rust;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,7.0,"Hybrid (some remote, some in-person)",South Africa,C#;Java;SQL;TypeScript,C#;Dart;Java;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,8.0,In-person,Switzerland,C++;HTML/CSS;MATLAB;Python,C++;HTML/CSS;MATLAB;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,"Hybrid (some remote, some in-person)",Israel,HTML/CSS;JavaScript;SQL;TypeScript,Dart;Go
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,Remote,Sweden,C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,6.0,Remote,Austria,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,Bash/Shell (all shells);C;HTML/CSS;Java;PHP;Python;SQL
"Independent contractor, freelancer, or self-employed;Employed, part-time","Associate degree (A.A., A.S., etc.)",25,8.0,"Hybrid (some remote, some in-person)",Germany,PHP,JavaScript;PHP
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,7.0,Remote,Ukraine,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time",Some college/university study without earning a degree,8,6.0,"Hybrid (some remote, some in-person)",Germany,C;C++;Elixir;Erlang;Go;Java;Lua;Ruby;Rust;Scala;SQL,Elixir;Erlang;Lua;Ruby;Rust;Scala;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,7.0,Remote,Finland,Assembly;Bash/Shell (all shells);C;C++;GDScript;Python;Ruby,Assembly;C;C++;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,7.0,Remote,"Venezuela, Bolivarian Republic of...",Bash/Shell (all shells);Dart;Java;JavaScript;Scala;TypeScript,Bash/Shell (all shells);Dart;Go;Haskell;Kotlin;Rust;Scala;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18,7.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;R;TypeScript,Kotlin;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,Remote,Netherlands,Dart;Go;Groovy;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,Dart;Go;Kotlin;SQL
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,7.0,"Hybrid (some remote, some in-person)",Austria,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Prolog;Python;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,9.0,"Hybrid (some remote, some in-person)",France,Groovy;HTML/CSS;Java;PowerShell;Python;SQL;TypeScript,HTML/CSS;Java;PowerShell;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,5.0,"Hybrid (some remote, some in-person)",Greece,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,"Hybrid (some remote, some in-person)",Czech Republic,SQL;TypeScript,Go;SQL;TypeScript
"Employed, full-time","Associate degree (A.A., A.S., etc.)",6,7.0,"Hybrid (some remote, some in-person)",Denmark,Bash/Shell (all shells);C;C#;C++;Java;Kotlin,C;C#;C++;Kotlin
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,7.0,Remote,United States of America,Bash/Shell (all shells);JavaScript;Python;SQL,C;C++;Rust
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,6.0,Remote,Uzbekistan,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,6.0,"Hybrid (some remote, some in-person)",Lithuania,Java;Scala,Go;HTML/CSS;Java;Kotlin;Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,2.0,Remote,France,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C;Elixir;HTML/CSS;Java;JavaScript;Lua;Rust;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,8.0,Remote,United States of America,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,4.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,JavaScript;PHP;SQL,JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,"Hybrid (some remote, some in-person)",Thailand,JavaScript;Kotlin;Swift,JavaScript;Kotlin;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,8.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,7.0,"Hybrid (some remote, some in-person)",Serbia,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;Go;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9.0,Remote,Germany,Bash/Shell (all shells);Python;Rust,Bash/Shell (all shells);Python;Rust
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,8.0,Remote,United States of America,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,6.0,Remote,United States of America,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,8.0,"Hybrid (some remote, some in-person)",Netherlands,JavaScript;Lisp;Python;SQL,JavaScript;Lisp;Python;SQL
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,5.0,"Hybrid (some remote, some in-person)",Czech Republic,Java;Ruby;TypeScript,GDScript;Java;Python;Ruby;TypeScript
"Employed, full-time",Some college/university study without earning a degree,4,8.0,Remote,Republic of North Macedonia,HTML/CSS;JavaScript,HTML/CSS;JavaScript;Python
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,8.0,Remote,Indonesia,HTML/CSS;Java;JavaScript;PHP;Ruby;SQL;TypeScript;Visual Basic (.Net),JavaScript;Ruby;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,13,6.0,"Hybrid (some remote, some in-person)",Sweden,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Go;PowerShell;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,8.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);PowerShell;Python,Bash/Shell (all shells);PowerShell;Python
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,10.0,Remote,El Salvador,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Bash/Shell (all shells);HTML/CSS;JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,9.0,"Hybrid (some remote, some in-person)",France,C++;JavaScript;TypeScript,JavaScript;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,10.0,Remote,United States of America,Python;SQL,Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,5.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Assembly;C;C#;Go;Rust;Zig
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,8.0,Remote,Belgium,Dart;JavaScript;PHP;SQL;TypeScript,Go;Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,8.0,Remote,France,Python;SQL,Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,6.0,In-person,India,JavaScript,TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",26,6.0,Remote,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,9.0,"Hybrid (some remote, some in-person)",Romania,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL,HTML/CSS;JavaScript;Kotlin;PHP;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,8.0,"Hybrid (some remote, some in-person)",Ireland,HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Java;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,8.0,"Hybrid (some remote, some in-person)",Singapore,JavaScript;Python,JavaScript;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,7.0,In-person,Netherlands,Bash/Shell (all shells);Swift,Bash/Shell (all shells);Swift
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,7.0,Remote,United States of America,Bash/Shell (all shells);C++;Python,C++;OCaml;Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,"Hybrid (some remote, some in-person)",Hong Kong (S.A.R.),C;C++;Go;Java;Python,C;C++;Python;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,9.0,In-person,United States of America,Bash/Shell (all shells);C;Fortran;Lisp;Python,Bash/Shell (all shells);C;Lisp;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,9.0,"Hybrid (some remote, some in-person)",Australia,Bash/Shell (all shells);C#;HTML/CSS;Java;PHP;PowerShell;SQL;Visual Basic (.Net),Bash/Shell (all shells);C#;F#;Go;HTML/CSS;PowerShell;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,8.0,"Hybrid (some remote, some in-person)",Canada,C;C#;C++;SQL,C;C#;C++;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,4.0,Remote,Brazil,HTML/CSS;JavaScript,JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,Delphi;Python;SQL,C#;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,8.0,"Hybrid (some remote, some in-person)",Finland,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2.0,"Hybrid (some remote, some in-person)",Italy,Java;SQL,C#;C++;Dart;JavaScript;Kotlin;Scala;SQL
